id,sentiment
"12311_10",0.9969198098402615
"8348_2",2.305055333300729e-05
"5828_4",0.3561589405800817
"7186_2",0.9921701321034856
"12128_7",0.9930682836306113
"2913_8",0.5653872604762736
"4396_1",0.000690972360550077
"395_2",0.6601232549370084
"10616_1",0.002416863116386653
"9074_9",0.0038775801393908216
"9252_3",1.412134088627935e-06
"9896_9",0.015269545615879862
"574_4",0.5307210994988225
"11182_8",0.799540737721735
"11656_4",0.9774013926733365
"2322_4",0.7048185180008307
"8703_1",0.03935787332907355
"7483_1",0.09122781660942977
"6007_10",0.9992835235910618
"12424_4",0.0015158481321181246
"4672_1",2.799001560135487e-09
"10841_3",0.03758470012780743
"8954_7",0.877480605472837
"7392_1",0.008694338977030083
"10288_8",0.9968946630421746
"5343_4",0.00032778118749515766
"4950_1",2.685355298746136e-05
"9257_4",0.9133845265942666
"8689_3",0.1047317109540257
"4480_2",0.016415338862186747
"9286_10",0.998622120161722
"12245_10",0.9999037805145531
"7529_7",0.9938730341991658
"4_4",0.0015877685783638872
"5299_2",7.599374192337911e-05
"12077_8",0.9608750547957652
"10701_2",0.0026754238176837893
"11579_1",0.0188968544290785
"10993_1",0.1297636945489022
"8913_1",0.3114475670833312
"1350_3",0.005046052770806849
"3804_2",0.004965480487695685
"5025_3",0.7003811764682211
"5170_8",0.5936023210857205
"8225_8",0.9931316389081435
"6427_7",0.9951696796002759
"3165_3",0.40342617058751107
"7902_9",0.999989051882753
"8208_3",0.0023382265417429674
"3577_8",0.9998886079637843
"4865_1",0.00014590454562517552
"9063_3",0.13463425580614974
"1106_1",0.9343444110840126
"1117_9",0.998115906107487
"1050_4",0.024533598036182793
"10755_9",0.3366031515127651
"2729_8",0.9880145421146193
"10072_10",0.9999256304681263
"2904_7",0.9999284077422529
"4584_2",0.3738197028402885
"189_4",0.10187430097238091
"6302_4",0.04083072851007753
"8138_9",0.9825687496920978
"1262_1",0.06674179427208282
"2199_10",0.999999999999948
"6551_7",0.9316270383701785
"8082_7",0.06827383891328044
"4897_8",0.9999527145058024
"7360_1",1.5432977595310557e-11
"11012_10",0.9750120940859502
"12046_1",0.0682068326804767
"2331_2",0.6497992405082856
"8961_9",0.978103763827113
"751_7",0.24178988115450525
"9884_10",0.9669560014188312
"10016_8",0.9568300075507585
"8023_10",0.9993695669498996
"2628_1",0.0011261576847160838
"5832_1",3.2623456559786706e-07
"7302_1",0.01926408110337747
"4501_3",0.10421235688657432
"1121_7",0.8336136708250776
"8334_3",0.9185045517621295
"9789_10",0.6010416988281647
"4230_10",0.9027194830165531
"824_4",0.1882258598151823
"6803_9",0.43751321943782356
"3086_7",0.9882955382941995
"1135_8",0.9991694102577608
"10136_1",0.00013391708576787818
"11129_3",0.026584911663710815
"2072_8",0.7916180161182358
"9501_7",0.9999523161590549
"319_10",0.9999619782988202
"1693_7",0.9846147803741222
"10886_1",4.4843841682550146e-07
"9406_8",0.4074852005799572
"10376_10",0.7493444493170388
"9902_1",0.03469831924259613
"9938_8",0.006156039611939904
"7080_9",0.47882620212040644
"11944_8",0.2738124259494719
"5249_1",3.16844987442202e-05
"9599_2",0.25527859591690943
"9620_1",0.013004189120644657
"11244_1",1.1734389681798899e-06
"6841_10",0.9903494144044386
"10050_4",0.34261236931768096
"10512_9",0.9707308045752501
"11327_3",1.3566098827691883e-05
"10681_8",0.9989432832064656
"808_3",0.0012055640062402773
"546_7",0.9945482038271537
"10765_1",1.6425114798286644e-07
"7189_9",0.8191792704521983
"6005_9",0.9999997980364278
"11915_9",0.9839058424624076
"5740_10",0.9598082277650303
"7097_10",0.0266933175541293
"9573_10",0.5112862297752688
"5084_4",0.16013347371498388
"12332_7",0.11376335732909314
"8154_1",0.0044545472546433556
"5610_1",0.0047771937784347905
"5323_9",0.997435389683446
"11034_8",0.9872666371089929
"3977_2",0.009949715056431694
"12380_7",0.022511998312924806
"1737_8",0.9966633286949033
"6030_9",0.6007598850384877
"5918_7",0.9994152708115149
"7061_9",0.5043736293485596
"266_8",0.975926750090194
"1375_10",0.9888550856915718
